Kecamatan,Last Update,Temperature,Humidity,Condition,Wind Speed,Wind Direction,UV Index
Cakung,2025-11-27 20:15,29.3,75,Partly Cloudy,8.6,NE,0.0
Cempaka Putih,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Cengkareng,2025-11-27 20:15,29.3,75,Patchy light drizzle,3.6,SW,0.0
Cilandak,2025-11-27 20:15,29.3,75,Patchy rain nearby,10.1,ENE,0.0
Cilincing,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.4,NE,0.0
Cipayung,2025-11-27 20:00,29.3,75,Partly Cloudy,6.8,NE,0.0
Ciracas,2025-11-27 20:15,29.3,75,Clear,9.4,ENE,0.0
Duren Sawit,2025-11-27 17:45,-6.1,17,Clear,3.6,ESE,0.0
Gambir,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Grogol Petamburan,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Jagakarsa,2025-11-27 20:00,29.3,75,Partly Cloudy,6.8,E,0.0
Jatinegara,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Johar Baru,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Kalideres,2025-11-27 20:15,29.3,75,Patchy light drizzle,3.6,SW,0.0
Kebayoran Baru,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Kebayoran Lama,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Kebon Jeruk,2025-11-27 20:15,29.3,75,Patchy rain nearby,7.9,ENE,0.0
Kelapa Gading,2025-11-27 20:15,18.3,99,Fog,3.6,S,0.0
Kemayoran,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Kembangan,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Kepulauan Seribu Selatan,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.4,NE,0.0
Kepulauan Seribu Utara,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Koja,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.4,NE,0.0
Kramat Jati,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Makasar,2025-11-27 20:15,29.3,75,Clear,9.4,ENE,0.0
Mampang Prapatan,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Matraman,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Menteng,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Pademangan,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Palmerah,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Pancoran,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Pasar Minggu,2025-11-27 20:15,23.0,100,Light rain,3.6,W,0.0
Pasar Rebo,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Penjaringan,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Pesanggrahan,2025-11-27 20:15,29.4,79,Patchy rain nearby,9.4,SSW,0.0
Pulo Gadung,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Sawah Besar,2025-11-27 20:15,29.3,75,Patchy rain nearby,8.6,ENE,0.0
Senen,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Setiabudi,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.7,NE,0.0
Taman Sari,2025-11-27 20:15,24.6,85,Partly Cloudy,11.9,S,0.0
Tambora,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
Tanah Abang,2025-11-27 21:15,26.1,89,Light rain,5.8,ENE,0.0
Tanjung Priok,2025-11-27 20:15,29.3,75,Patchy rain nearby,9.4,NE,0.0
Tebet,2025-11-27 20:00,29.3,75,Patchy rain nearby,9.7,NE,0.0
