Lokasi,Kecamatan,Last Update,Temperature,Humidity,Condition,Wind Speed,Wind Direction,UV Index
serpong,Serpong,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,4.7,NNW,1.3
cilegon,Cilegon,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,21.6,WSW,2.5
bandung,Bandung,2025-12-01 16:15,24.8,74,Light rain shower,3.6,NW,1.4
tunggulrejo,Tunggulrejo,2025-12-01 16:15,28.1,69,Patchy light drizzle,19.8,S,0.7
manahan,Manahan,2025-12-01 16:15,28.8,66,Patchy rain nearby,18.7,SSW,1.1
surabaya,Surabaya,2025-12-01 16:15,31.1,66,Patchy light drizzle,15.5,N,0.5
depok,Depok,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,3.6,N,1.3
serang,Serang,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,10.8,W,2.3
purwakarta,Purwakarta,2025-12-01 16:15,30.1,65,Light rain shower,5.8,N,1.7
ngaliyan,Ngaliyan,2025-12-01 16:15,26.0,63,Patchy rain nearby,9.7,S,1.6
plumbungan,Plumbungan,2025-12-01 16:15,31.1,66,Light rain shower,11.9,NNE,0.6
kediri,Kediri,2025-12-01 16:15,28.1,69,Patchy light drizzle,19.8,S,0.7
cisarua,Cisarua,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,3.6,W,1.7
cilegon,Cilegon,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,21.6,WSW,2.5
pelabuhanratu,Pelabuhanratu,2025-12-01 16:15,27.7,70,Light rain shower,10.1,SSW,1.8
candirejo,Candirejo,2025-12-01 16:15,28.4,86,Light rain shower,4.0,ENE,2.5
mojopanggung,Mojopanggung,2025-12-01 16:15,25.3,92,Light rain shower,9.0,S,0.8
leuwiliang,Leuwiliang,2025-12-01 16:15,30.9,55,Partly Cloudy,13.0,SSW,2.6
indramayu,Indramayu,2025-12-01 16:15,28.9,68,Patchy rain nearby,16.2,ENE,1.4
sidakaya,Sidakaya,2025-12-01 16:15,24.3,88,Patchy light drizzle,3.6,S,0.5
kedopok,Kedopok,2025-12-01 16:15,26.4,83,Patchy light rain,5.0,NNE,0.2
bogor,Bogor,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,5.4,S,1.8
rembang,Rembangan,2025-12-01 16:15,26.8,81,Light drizzle,8.3,N,0.3
mojokerto,Mojokerto,2025-12-01 16:15,31.1,66,Patchy light rain,3.6,NE,0.4
bekasi,Bekasi,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,10.4,N,1.3
madiun,Madiun,2025-12-01 16:15,30.1,61,Patchy light drizzle,8.3,NNE,0.4
gbk,Gbangbatok Airport,2025-12-01 09:15,25.8,82,Partly Cloudy,3.6,ENE,0.7
jombang,Jombang,2025-12-01 16:15,31.1,66,Light rain shower,14.0,S,0.5
tangerang,Tangerang,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,14.4,NNW,1.4
lamongan,Lamongan,2025-12-01 16:15,31.1,66,Patchy light drizzle,13.7,NNE,0.4
jakarta-timur,Pinggirrawa Timur,2025-12-01 16:15,27.2,79,Moderate or heavy rain with thunder,15.5,NNW,1.7
tuban,Tuban,2025-12-01 16:15,29.1,69,Light rain shower,11.5,NNE,1.0
bojonegoro,Bojonegoro,2025-12-01 16:15,28.4,72,Patchy rain nearby,3.6,N,0.7
